Title,Price,Brand,Model,Power,Efficiency,Link
Athena AP-MP4ATX30 300 Watt MicroATX Power Supply,46.99,Athena Power,AP-MP4ATX30,300 W,80+,https://amazon.com/dp/B002DBSRIQ?tag=pcbuilder00-20
"SilverStone Technology, 80 Plus Bronze Certified 550W ATX Power Supply",47.02,SilverStone Technology,Essential,550 W,80+ Bronze,https://amazon.com/dp/B071HHSY2M?tag=pcbuilder00-20
Solid Gear Neutron 650W 80+ Certified ATX Gaming Power Supply,47.93,Solid Gear,Neutron,650 W,80+,https://amazon.com/dp/B00A8ZZUXO?tag=pcbuilder00-20
"Thermaltake Smart RGB, 80+ Certified 700W Power Supply with 256-Color RGB Fan",47.94,Thermaltake,Smart RGB,700 W,80+,https://amazon.com/dp/B0754S3TXS?tag=pcbuilder00-20
SPI ATX-350PN-B204 350W ATX V2.2 20+4PIN 12CM BB Fan 1xSATA C2D Rohs Power Supply,47.99,Sparkle,ATX-350PN-B204,350 W,80+,https://amazon.com/dp/B0015TXJM6?tag=pcbuilder00-20
"Rosewill Computer Modular Power Supply/PSU, Glacier Series 500 Watt 80 Plus Bronze Certified PSU with Silent 135mm Fan with Auto Fan Speed Control",49.99,Rosewill,Glacier 500M,500 W,80+ Bronze,https://amazon.com/dp/B00S8NO7OQ?tag=pcbuilder00-20
Raidmax Cobra RX-700AC 700W 80 PLUS Bronze ATX12V 2.3 & EPS12V Power Supply,49.99,LETANG,Cobra RX 700,700 W,80+ Bronze,https://amazon.com/dp/B01056KUJ4?tag=pcbuilder00-20
Raidmax Hybrid 2 RX-530SS 530W ATX12V V2.2/EPS12V SLI Ready Crossfire Ready Modular LED Power Supply,49.99,Raidmax,RX-530SS,530 W,,https://amazon.com/dp/B000TYN2PC?tag=pcbuilder00-20
"Rosewill CFZ500 500W ATX Semi Modular Gaming Power Supply | 80 Plus Bronze Certified, Single +12V Rail | Intel 4th Gen CPU Read, SLI & Crossfire Ready",49.99,Rosewill,CFZ500,500 W,80+ Bronze,https://amazon.com/dp/B08RQJQTDJ?tag=pcbuilder00-20
"Cooler Master Elite V3, 80+ Certified 400W ATX Power Supply",50.3,Cooler Master,Elite V3,400 W,80+,https://amazon.com/dp/B07B6Q4B3M?tag=pcbuilder00-20
EVGA 500W 80PLUS Certified ATX12V/EPS12V Power Supply,50.99,EVGA,100-W1-0500-K3,500 W,80+,https://amazon.com/dp/B00H33SFJU?tag=pcbuilder00-20
"Rosewill Gaming Power Supply, Arc 550 Watt (550W) 80 Plus Bronze Certified PSU with Silent 120mm Fan and Auto Fan Speed Control",50.99,Rosewill,ARC 550,550 W,80+ Bronze,https://amazon.com/dp/B00KJMD272?tag=pcbuilder00-20
Thermaltake TR2 600W ATX 12 V2.3 Power Supply TR-600CUS,51.81,Thermaltake,TR2-600W,600 W,80+,https://amazon.com/dp/B0058FAYQ2?tag=pcbuilder00-20
"Apevia ATX-PR600W Prestige 600W 80+ Gold Certified, RoHS Compliance, Active PFC ATX Gaming Power Supply",51.99,Apevia,ATX-RP600W,600 W,80+ Gold,https://amazon.com/dp/B07NWZQX1J?tag=pcbuilder00-20
"SilverStone Technology Silverstone 300W SFX Small in Size, Big On Power 80 Plus Bronze Efficiency and Silent Running Fan for Class Leading",51.99,SilverStone Technology,SST-SX300-B,300 W,80+ Bronze,https://amazon.com/dp/B07ZJ19XT3?tag=pcbuilder00-20
"Rosewill Gaming Power Supply, Arc (450W) 80 Plus Bronze Certified PSU with Silent 120mm Fan and Auto Fan Speed Control",52.7,Rosewill,ARC 450,450 W,80+ Bronze,https://amazon.com/dp/B00KJMD038?tag=pcbuilder00-20
"Thermaltake Smart 700W 80+ White Certified PSU, Continuous Power with 120mm Ultra Quiet Fan, ATX 12V V2.3/EPS 12V Active PFC Power Supply",54.99,Thermaltake,SPD-0700NP,700 W,80+,https://amazon.com/dp/B014W3EAX8?tag=pcbuilder00-20
"Thermaltake Smart BX1 RGB, 80+ Bronze Certified 550W SLI/Crossfire Ready Non-Modular Power Supply",54.99,Thermaltake,Smart BX1 RGB,550 W,80+ Bronze,https://amazon.com/dp/B07HKL8JQF?tag=pcbuilder00-20
"EVGA 450 BR, 80+ Bronze Certified 450W ATX Power Supply",54.99,EVGA,BR,450 W,80+ Bronze,https://amazon.com/dp/B07DTP6SLJ?tag=pcbuilder00-20
Raidmax Hybrid 2 RX-730SS 730W PC Power Supply SLI Crossfire Ready ATX12V V2.2 / EPS12V Modular Power Supply,54.99,Raidmax,RX-730SS,730 W,80+ Gold,https://amazon.com/dp/B0055EIIXW?tag=pcbuilder00-20
Coolmax Power Supply ATX 600 Power Supply,55.09,Coolmax,ZX-600,600 W,80+,https://amazon.com/dp/B0075WFE3Y?tag=pcbuilder00-20
Silverstone Tek 80 Plus Bronze Certified Active PFC Power Supply ATX12V 500W Power Supply,55.99,SilverStone Technology,ST50F-ESB,500 W,80+ Bronze,https://amazon.com/dp/B00PSFDF5O?tag=pcbuilder00-20
"Enermax Cyberbron 80+ Bronze 600W, Non-Modular Power Supply, 120mm Fan, Black Flat Cable",56,Enermax,ECB600AWT,600 W,80+ Bronze,https://amazon.com/dp/B08K1TH6HT?tag=pcbuilder00-20
"EVGA 100-N1-0650-L1, 650 N1, 650W, 2 Year Warranty, Power Supply",57.85,EVGA,100-N1-0650-L1,650 W,80+,https://amazon.com/dp/B01LYRXRDI?tag=pcbuilder00-20
Azza PSAZ-650W(ARGB) 650 WATT Power Supply W/Addressable RGB,59,AZZA,PSAZ-650W(ARGB),650 W,80+ Bronze,https://amazon.com/dp/B084RWV5R8?tag=pcbuilder00-20
Thermaltake Toughpower GX1 500W 80+ Gold SLI/CrossFire Ready Continuous Power Supply,59.99,Thermaltake,Toughpower GX1,500 W,80+ Gold,https://amazon.com/dp/B07LGMXWP3?tag=pcbuilder00-20
"Rosewill Gaming 80 Plus Bronze 550W Power Supply / PSU, HIVE Series 550 Watt 80 PLUS Bronze Certified PSU with Silent 135mm Fan and Auto Fan Speed Control,",59.99,Rosewill,Hive-550S,550 W,80+ Bronze,https://amazon.com/dp/B005ILWY9G?tag=pcbuilder00-20
Antec VP500 Plus 500W ATX12V / EPS12V 80 Plus Certified Non-Modular Active PFC Power Supply,59.99,Antec,VP500 PLUS,500 W,80+,https://amazon.com/dp/B07JFMCBRQ?tag=pcbuilder00-20
"Raidmax Cobra, 80+ Bronze Certified 500W ATX Power Supply",59.99,Raidmax,Cobra,500 W,80+ Bronze,https://amazon.com/dp/B00HK74EPS?tag=pcbuilder00-20
"EVGA 550 BP, 80+ Bronze 550W, 3 Year Warranty, Compact 120mm Size, Power Supply 100-BP-0550-K1",59.99,EVGA,100-BP-0550-K1,550 W,80+ Bronze,https://amazon.com/dp/B0B1S1PN6H?tag=pcbuilder00-20
Sparkle FSP FSP300-60ATV 300W ATX Power Supply,59.99,Sparkle,FSP300-60ATV,300 W,80+,https://amazon.com/dp/B0045788AI?tag=pcbuilder00-20
SPI FSP350-60GNV 350W SFX 20+4PIN 8CM BB Fan APFC Auto Ranging Rohs Power Supply,59.99,Sparkle,FSP350-60GNV,350 W,80+,https://amazon.com/dp/B0015TS7A0?tag=pcbuilder00-20
"Rosewill Gaming Power Supply, Arc 650 Watt (650W) 80 Plus Bronze Certified PSU with Silent 120mm Fan and Auto Fan Speed Control",60.99,Rosewill,ARC 650,650 W,80+ Bronze,https://amazon.com/dp/B00KJMD4L6?tag=pcbuilder00-20
"Cooler Master MasterWatt, 80+ Bronze Certified 550W Semi-fanless Modular Power Supply",61,Cooler Master,MasterWatt,550 W,80+ Bronze,https://amazon.com/dp/B074ZDLGMK?tag=pcbuilder00-20
Topower ATX 550 Power Supply ZU-550W,61,Topower,ZU-550W,550 W,80+,https://amazon.com/dp/B001MD45ZK?tag=pcbuilder00-20
In-Win IP-S300FF1-0 300W TFX Power Supply For BL/BP Series,61.01,IN WIN,IP-S300FF1-0 H,300 W,80+,https://amazon.com/dp/B0059E32FW?tag=pcbuilder00-20
Coolmax Power Supply ATX 700 Power Supply,61.63,Coolmax,ZX-700,700 W,80+,https://amazon.com/dp/B0075WFEAM?tag=pcbuilder00-20
"Rosewill Computer Modular Power Supply / PSU, GLACIER Series 600 Watt 80 PLUS Bronze Certified PSU with Silent 135mm Fan with Auto Fan Speed Control",62.61,Rosewill,Glacier 600M,600 W,80+ Bronze,https://amazon.com/dp/B00S8NOAJ8?tag=pcbuilder00-20
SEASONIC ACCESSORY SS-300TFX 18 CABLE POWER SUPPLY 300W TFX12V V2.3 80OLUS ACTIV,62.92,Seasonic,SS-300TFX,300 W,80+ Bronze,https://amazon.com/dp/B004JUVNVC?tag=pcbuilder00-20
"EVGA BQ500, 80+ Bronze Certified 500W Semi Modular ATX Power Supply",62.99,EVGA,BQ500,500 W,80+ Bronze,https://amazon.com/dp/B01N3OAFHD?tag=pcbuilder00-20
"Rosewill CFZ600 600W ATX Semi Modular Gaming Power Supply | 80 Plus Bronze Certified, Single +12V Rail | Continuous Power | Intel 4th Gen CPU Read, SLI & Crossfire Ready",62.99,Rosewill,CFZ600,600 W,80+ Bronze,https://amazon.com/dp/B08RSBVZMZ?tag=pcbuilder00-20
In Win IP-S200FF1-0 ATX12V Power Supply 200 W,63,IN-WIN Development,IP-S200DF1-0,200 W,,https://amazon.com/dp/B003VMY712?tag=pcbuilder00-20
"Cooler Master MWE Bronze 500 Watt 80 Plus Certified Power Supply, 3 Year Warranty",63.45,Cooler Master,MPX-5001-ACAAB-US,500 W,80+ Bronze,https://amazon.com/dp/B074ZDLGM3?tag=pcbuilder00-20
"Thermaltake Smart RGB, 80+ Certified 500W ATX Power Supply with 256-Color RGB Fan",63.48,Thermaltake,Smart RGB,500 W,80+,https://amazon.com/dp/B075525T6F?tag=pcbuilder00-20
SilverStone Technology 300W Fixed Cable TFX Power Supply 80 Plus Bronze TX300,63.99,SilverStone Technology,TX300,300 W,80+ Bronze,https://amazon.com/dp/B06XS9YLTL?tag=pcbuilder00-20
"EVGA 700 GD, 80+ Gold Certified 700W ATX Power Supply",64.8,EVGA,GD (2019),700 W,80+ Gold,https://amazon.com/dp/B07W956JBC?tag=pcbuilder00-20
"EVGA 600 BR, 80+ Bronze Certified 600W ATX Power Supply",64.99,EVGA,BR,600 W,80+ Bronze,https://amazon.com/dp/B07DTP6QKG?tag=pcbuilder00-20
"Seasonic S12III 500, 80+ Bronze Certified 500W Power Supply with Silent Fan Control",64.99,Seasonic,S12III,500 W,80+ Bronze,https://amazon.com/dp/B07MWG3911?tag=pcbuilder00-20
"EVGA 500 BA, 80+ BRONZE 500W, Power Supply",64.99,EVGA,BA500,500 W,80+ Bronze,https://amazon.com/dp/B08BNLL2SJ?tag=pcbuilder00-20
RAIDMAX RX-735AP-R 80 Plus Bronze Authentication Semi Plug-in Type 4 Pin RGB Header Compatible Thunder RGB,64.99,Raidmax,RX-735AP,735 W,80+ Bronze,https://amazon.com/dp/B076QHHB6X?tag=pcbuilder00-20
Thermaltake Smart RGB 600W 80+ 256-Color RGB Fan ATX 12V 2.3 Kaby Lake Ready Power Supply,66.44,Thermaltake,PS-SPR-0600NHFAWU-1,600 W,80+,https://amazon.com/dp/B0754YDPZF?tag=pcbuilder00-20
"DeepCool DA500 80 Plus Bronze Certified 500W Power Supply, ATX12V, 120mm PWM Silent Fan, 5 Year Warranty",66.69,DEEP COOL,DA500,500 W,80+ Bronze,https://amazon.com/dp/B071S667D4?tag=pcbuilder00-20
"Apevia Prestige, 80+ Gold Certified 800W, RoHS Compliance and Active PFC ATX Gaming Power Supply",66.99,Apevia,Prestige,800 W,80+ Gold,https://amazon.com/dp/B07NWZZXHQ?tag=pcbuilder00-20
Antec VP Plus VP650 Plus 650W ATX12V / EPS12V 80 Plus Certified Non-Modular Active PFC Power Supply,66.99,Antec,VP650 PLUS,650 W,80+,https://amazon.com/dp/B07JFM6PRK?tag=pcbuilder00-20
Seasonic SSP-300TBS 300W 80 PLUS Bronze TFX 12 V v.2.31 Power Supply w/ Active,67.61,Seasonic,SSP-300TBS,300 W,80+ Bronze,https://amazon.com/dp/B06XW8HK71?tag=pcbuilder00-20
GIGABYTE GP-UD850GM 850W 80 Plus Gold Certified Fully Modular Power Supply,67.99,Gigabyte,GP-UD850GM,850 W,80+ Gold,https://amazon.com/dp/B09RK7GFQL?tag=pcbuilder00-20
"EVGA 500 GE, 80 Plus Gold 500W, Eco Mode, 5 Year Warranty, Power Supply 200-GE-0500-V1",68.75,EVGA,200-GE-0500-V1,500 W,80+ Gold,https://amazon.com/dp/B0C1ZXGT67?tag=pcbuilder00-20
"SilverStone Technology SST-ET750-B, 80 Plus Bronze Certified 750W Power Supply with All Flat Black Cables",68.99,SilverStone Technology,Essential,750 W,80+ Bronze,https://amazon.com/dp/B07F13XYFJ?tag=pcbuilder00-20
"EVGA BR, 80+ Bronze Certified 500W ATX Power Supply",69.64,EVGA,BR,500 W,80+ Bronze,https://amazon.com/dp/B07DTMXD83?tag=pcbuilder00-20
Thermaltake Smart BM3 650W 80Plus Bronze ATX 3.0 & PCIE 5.0 Ready Semi-Modular Power Supply; 105°C/221°F Japanese Capacitor; 5 Year Warranty; PS-SPD-0650MNFABU-3,69.87,Thermaltake,PS-SPD-0650MNFABU-3,650 W,80+ Bronze,https://amazon.com/dp/B0CFWQBDXQ?tag=pcbuilder00-20
"be quiet! Pure Power 11, 80+ Gold Certified 500W Power Supply",69.9,be quiet!,Pure Power 11,500 W,80+ Gold,https://amazon.com/dp/B07PL3LH4P?tag=pcbuilder00-20
"Thermaltake Toughpower GX1, 80+ Gold Certified 600W Non Modular Power Supply with SLI/CrossFire Ready",69.99,Thermaltake,Toughpower GX1,600 W,80+ Gold,https://amazon.com/dp/B07F9YFYLZ?tag=pcbuilder00-20
"ASUS ROG Strix 550W Gold PSU, Power Supply (ROG heatsinks, Axial-tech Fan Design, Dual-Ball Fan Bearings, 0dB Technology, 80 Plus Gold Certification",69.99,ASUS,ROG Strix 550W,550 W,80+ Gold,https://amazon.com/dp/B08461YPSD?tag=pcbuilder00-20
"Cooler Master Watt 650 Watt Semifanless Modular Power Supply, 80 PLUS Bronze Certified Power Supply for Computers",69.99,Cooler Master,MPX-6501-AMAAB-US,650 W,80+ Bronze,https://amazon.com/dp/B074ZKXM72?tag=pcbuilder00-20
"ROSEWILL Gaming 80 Plus Bronze 650W Power Supply/PSU, HIVE Series 650 Watt 80 Plus Bronze Certified PSU with Silent 135mm Fan and Auto Fan Speed Control",69.99,Rosewill,Hive-650S,650 W,80+ Bronze,https://amazon.com/dp/B005ILWYJQ?tag=pcbuilder00-20
"Gigabyte P650B, 80 Plus Bronze Certified 650W Power Supply",69.99,Gigabyte,P-B,650 W,80+ Bronze,https://amazon.com/dp/B079SSKYWB?tag=pcbuilder00-20
"Thermaltake Smart BX1, 80+ Bronze 650W SLI/ CrossFire Ready Non Modular ATX Power Supply",69.99,Thermaltake,Smart BX1,650 W,80+ Bronze,https://amazon.com/dp/B07NPM8WZ7?tag=pcbuilder00-20
"EVGA 600 Ba, 80 Plus Bronze 600w, Power Supply",69.99,EVGA,100-BA-0600-K1,600 W,80+ Bronze,https://amazon.com/dp/B08BNRGWXZ?tag=pcbuilder00-20
"Antec NeoECO Gold Zen NE500G Series, 80 Plus Gold Certified 500W Non-Modular Active PFC Power Supply",69.99,Antec,NeoECO Gold ZEN,500 W,80+ Gold,https://amazon.com/dp/B0817DXRPX?tag=pcbuilder00-20
Apevia ATX-GX850W Galaxy 850W 80+ Gold Certified Active PFC ATX Semi-Modular Gaming Power Supply,69.99,Apevia,ATX-GX850W,850 W,80+ Gold,https://amazon.com/dp/B094282KV4?tag=pcbuilder00-20
"GAMDIAS Kratos M1-750B, 80 Plus Bronze Certified 750W ATX Power Supply",69.99,GAMDIAS,Kratos M1,750 W,80+ Bronze,https://amazon.com/dp/B07NRN6FNJ?tag=pcbuilder00-20
FSP Hyper M 85+ 650W 80 PLUS Bronze Certified Semi Modular Active PFC Power Supply,69.99,FSP,HA650M,650 W,80+ Gold,https://amazon.com/dp/B077V92P9M?tag=pcbuilder00-20
SilverStone Tek 550W 80 Plus Gold Fixed Cable Power Supply with Flat Black Cables and Quiet Fan Curve,69.99,SilverStone Technology,ET550,550 W,80+ Gold,https://amazon.com/dp/B0762R8WJ4?tag=pcbuilder00-20
"DeepCool DA700 80 Plus Bronze Certified 700W Power Supply, ATX12V, 120mm PWM Silent Fan, 5 Year Warranty",70.99,DEEP COOL,DA700,700 W,80+ Bronze,https://amazon.com/dp/B077PQZHMD?tag=pcbuilder00-20
"EVGA 610 BP, 80+ BRONZE 600W + 10W, 3 Year Warranty, Power Supply 100-BP-0610-K1",71.53,EVGA,100-BP-0610-K1,610 W,80+ Bronze,https://amazon.com/dp/B08N436KGR?tag=pcbuilder00-20
"Apevia Signature ATX-SN1050W, 80+ Bronze Certified 1050W ATX Modular Gaming Power Supply",72.99,Apevia,Signature,1050 W,80+ Bronze,https://amazon.com/dp/B0741RKRY5?tag=pcbuilder00-20
ZEUS GAMDIAS RGB Gaming PC Power Supply 650W 80 Plus Gold Certified 650 Watt PSU for Computers and Desktops with Active PFC,72.99,ZEUS GAMDIAS,KRATOS P1-650G,650 W,80+ Gold,https://amazon.com/dp/B07WCT24GH?tag=pcbuilder00-20
Thermaltake Power Supply ATX 600W Smart RGB (80+),73.51,Thermaltake,PS-SPR-0600NHSAWE-1,600 W,80+,https://amazon.com/dp/B0744PG921?tag=pcbuilder00-20
"EVGA 500 GD, 80+ Gold Certified 500W ATX Power Supply",73.95,EVGA,GD (2019),500 W,80+ Gold,https://amazon.com/dp/B07WC79PPN?tag=pcbuilder00-20
SilverStone Technology 300W SFX Form Factor 80 Plus Bronze Power Supply,73.99,SilverStone Technology,ST30SF-V2,300 W,80+ Bronze,https://amazon.com/dp/B01LZFMSFK?tag=pcbuilder00-20
"Enermax Revolution D.F, 80+ Gold Certified 650W ATX Power Supply",74,Enermax,Revolution D.F,650 W,80+ Gold,https://amazon.com/dp/B07PB67ZS7?tag=pcbuilder00-20
"Gigabyte GP-P550B (80 Plus Bronze 500W, Quiet Fan, Active Power Protection, Power Supply)",74.58,Gigabyte,GP-P550B,550 W,80+ Bronze,https://amazon.com/dp/B08DK7MVKX?tag=pcbuilder00-20
"EVGA 700 BR, 80+ Bronze Certified 700W ATX Power Supply",74.98,EVGA,BR,700 W,80+ Bronze,https://amazon.com/dp/B07DTP6MWS?tag=pcbuilder00-20
"EVGA 600 BQ, 80+ Bronze Certified 600W Semi Modular Power Supply with FDB Fan",74.99,EVGA,BQ,600 W,80+ Bronze,https://amazon.com/dp/B01MTJTO2O?tag=pcbuilder00-20
Thermaltake Smart BX1 RGB 80+ Bronze 750W SLI/Crossfire Haswell Ready Continuous Power ATX12V v2.31 / EPS 12V Non-Modular Power Supply,74.99,Thermaltake,Smart BX1 RGB,750 W,80+ Bronze,https://amazon.com/dp/B07HKLRXCS?tag=pcbuilder00-20
"Apevia ATX-PR1000W Prestige 1000W 80+ Gold Certified, ROHS Compliance, Active PFC ATX Gaming Power Supply",74.99,Apevia,ATX-PR1000W,1000 W,80+ Gold,https://amazon.com/dp/B08ZC7W24H?tag=pcbuilder00-20
"Rosewill Gaming Power Supply, Arc 750 Watt 80 Plus Bronze Certified PSU with Silent 120mm Fan and Auto Fan Speed Control",76.99,Rosewill,ARC 750,750 W,80+ Bronze,https://amazon.com/dp/B00KJMCXOA?tag=pcbuilder00-20
"Corsair CX-M Series, CX550M, Modular Power Supply, 80 PLUS Bronze",77.1,Corsair,CP-9020220-NA,550 W,80+ Gold,https://amazon.com/dp/B093NVY3TY?tag=pcbuilder00-20
"Sharkoon SilentStorm ATX12V Power Supply - 350 W - 120 V AC, 230 V AC Input Voltage",77.18,Sharkoon,4.04495E+12,450 W,80+ Bronze,https://amazon.com/dp/B00W4IVZQY?tag=pcbuilder00-20
Thermaltake Smart BX1 RGB 80+ Bronze 650W SLI/Crossfire Haswell Ready Continuous Power ATX12V v2.31 / EPS 12V Non-Modular Power Supply,77.49,Thermaltake,Smart BX1 RGB,650 W,80+ Bronze,https://amazon.com/dp/B07HKP454F?tag=pcbuilder00-20
ADATA XPG Pylon 550W 80 Plus Bronze Certified 120mm Fluid Dynamic Bearing Fan Power Supply,77.78,ADATA,Pylon 550W,550 W,80+ Bronze,https://amazon.com/dp/B08G7SX67L?tag=pcbuilder00-20
"Thermaltake Toughpower GF1, 80+ Gold Certified 650W SLI/ CrossFire Ready Full Modular Power Supply",77.99,Thermaltake,Toughpower GF1 PE,650 W,80+ Gold,https://amazon.com/dp/B07N7V8JM5?tag=pcbuilder00-20
Thermaltake Toughpower 750W 80 Plus Gold Semi Modular PSU ATX 12V or EPS 12V Ultra Quiet Power Supply,77.99,Thermaltake,Toughpower 750,750 W,80+ Gold,https://amazon.com/dp/B00IUQRPQS?tag=pcbuilder00-20
"EVGA 510 BP, 80+ BRONZE 500W + 10W, 3 Year Warranty, Power Supply 100-BP-0510-K1",77.99,EVGA,100-BP-0510-K1,510 W,80+ Bronze,https://amazon.com/dp/B08N3X9WQQ?tag=pcbuilder00-20
"Rosewill Gaming 80 Plus Gold 550W Power Supply / PSU, PHOTON Series Full Modular 550 Watt 80 PLUS Gold Certified PSU with Silent 135mm Fan and Auto Fan Speed Control",77.99,Rosewill,PHOTON-550,550 W,80+ Gold,https://amazon.com/dp/B00NWW3WVW?tag=pcbuilder00-20
"ASUS TUF GAMING 450W Bronze PSU, Power Supply(Axial-tech fan design, Dual Ball Fan Bearings",78,ASUS,TUF GAMING 450B,450 W,80+ Bronze,https://amazon.com/dp/B08SC2ZYY4?tag=pcbuilder00-20
Apex AL-8250SFX 250W SFX12V Power Supply - CK7910,78.05,APEX LEGENDS,AL-8250SFX,250 W,80+,https://amazon.com/dp/B004O9U9M2?tag=pcbuilder00-20
Alimentation ATX Cooler Master MWE White V2-700W,78.48,Cooler Master,MPE-7001-ACABW-EU,700 W,80+,https://amazon.com/dp/B07WZQ5BS8?tag=pcbuilder00-20
"Thermaltake Smart BX1, 80+ Bronze Certified 550W SLI/ CrossFire Ready Non Modular Power Supply",78.79,Thermaltake,Smart BX1,550 W,80+ Bronze,https://amazon.com/dp/B07NPMJ7RM?tag=pcbuilder00-20
"Corsair CX-M Series, CX650M, Modular Power Supply, 80 Plus Bronze",78.95,Corsair,CX650M,650 W,80+ Bronze,https://amazon.com/dp/B093NTQJSF?tag=pcbuilder00-20
Seasonic SSP-300SUG 300W 80 Plus Gold Flex ATX12V Power Supply W Active PFC,78.95,Seasonic,SSP-300SUG,300 W,80+ Gold,https://amazon.com/dp/B017XEIJDK?tag=pcbuilder00-20
"EVGA 600 GE, 80 Plus Gold 600W, Eco Mode, 5 Year Warranty, Power Supply 200-GE-0600-V1",79.15,EVGA,200-GE-0600-V1,600 W,80+ Gold,https://amazon.com/dp/B0C1ZX644C?tag=pcbuilder00-20
"be quiet! Pure Power 11, 80 Plus Gold Certified 600W ATX Power Supply",79.9,be quiet!,Pure Power 11,600 W,80+ Gold,https://amazon.com/dp/B07PL3LH5D?tag=pcbuilder00-20
"Seasonic S12III 650, 80+ Bronze Certified 650W Power Supply with Silent Fan Control",79.95,Seasonic,S12III,650 W,80+ Bronze,https://amazon.com/dp/B07MWHRG99?tag=pcbuilder00-20
"ASUS TUF GAMING 650W Bronze PSU, Power Supply(Axial-tech fan design, Dual Ball Fan Bearings, 0dB Technology, 80 PLUS Bronze Certification, 80cm 8-pin CPU Connector, 6-year Warranty)",79.99,ASUS,TUF-GAMING-650B,650 W,80+ Bronze,https://amazon.com/dp/B08MV7FBPS?tag=pcbuilder00-20
